Team,Opp.,W/L
Wright St.,IU Indy,W
High Point,UNC Asheville,W
Arkansas St.,Louisiana,W
LIU,Saint Francis,W
UNC Wilmington,Monmouth,W
Montana St.,Weber St.,L
Radford,Gardner Webb,W
Idaho St.,Montana,W
IU Indy,Wright St.,L
Fairleigh Dickinson,Chicago St.,W
Utah Valley,Cal Baptist,W
Tennessee Martin,Little Rock,L
NJIT,Albany,L
Idaho,Portland St.,L
Western Illinois,Southern Indiana,L
Memphis,South Florida,L
Lindenwood,Tennessee St.,L
Monmouth,UNC Wilmington,L
South Dakota,Denver,L
Samford,The Citadel,W
Chicago St.,Fairleigh Dickinson,L
Cal St. Northridge,UC Santa Barbara,W
UMass Lowell,New Hampshire,W
Southern Indiana,Western Illinois,W
Alabama A&M,Florida A&M,W
UC Santa Barbara,Cal St. Northridge,L
Presbyterian,Longwood,W
Longwood,Presbyterian,L
North Dakota,UMKC,W
North Florida,Austin Peay,L
Alabama St.,Bethune Cookman,L
Mercyhurst,Wagner,L
Montana,Idaho St.,L
Bryant,Binghamton,L
The Citadel,Samford,L
Winthrop,USC Upstate,W
Le Moyne,Central Connecticut,L
Gardner Webb,Radford,L
UT Arlington,Utah Tech,W
Prairie View A&M,Mississippi Valley S,W
Louisiana,Arkansas St.,L
Drexel,Northeastern,W
New Haven,Stonehill,W
Eastern Illinois,Morehead St.,L
Northeastern,Drexel,L
USC Upstate,Winthrop,L
Arkansas Pine Bluff,Texas Southern,L
UC Irvine,Long Beach St.,W
North Carolina A&T,Charleston,L
Vermont,UMBC,L
Georgia St.,Georgia Southern,W
Georgia Southern,Georgia St.,L
Tennessee Tech,SIU Edwardsville,W
Utah Tech,UT Arlington,L
Florida A&M,Alabama A&M,L
UMKC,North Dakota,L
Mississippi Valley S,Prairie View A&M,L
Hawaii,Cal Poly,L
Cal St. Bakersfield,UC Riverside,L
Austin Peay,North Florida,W
Long Beach St.,UC Irvine,L
Hampton,Hofstra,L
UNC Asheville,High Point,L
Stonehill,New Haven,L
Cal Baptist,Utah Valley,L
New Hampshire,UMass Lowell,L
SIU Edwardsville,Tennessee Tech,L
Purdue,Indiana,W
Miami OH,Bowling Green,W
Milwaukee,Detroit Mercy,L
Siena,Merrimack,L
Detroit Mercy,Milwaukee,W
Merrimack,Siena,W
Brown,Princeton,W
Marist,Manhattan,W
Akron,Ball St.,W
Manhattan,Marist,L
Princeton,Brown,L
Indiana,Purdue,L
Saint Louis,VCU,W
VCU,Saint Louis,L
Green Bay,Oakland,W
Bowling Green,Miami OH,L
Oakland,Green Bay,L
Fairfield,Sacred Heart,W
Sacred Heart,Fairfield,L
Ball St.,Akron,L
Canisius,Rider,W
Mount St. Mary's,Niagara,W
Niagara,Mount St. Mary's,L
Iona,Saint Peter's,W
Rider,Canisius,L
Saint Peter's,Iona,L
UT Rio Grande Valley,Southeastern Louisia,W
Georgia,Texas,W
Miami FL,Virginia,L
Texas Tech,Kansas St.,W
SMU,Boston College,W
Arkansas,Missouri,W
Illinois,UCLA,L
Incarnate Word,East Texas A&M,W
North Carolina A&T,Elon,W
UCLA,Illinois,W
Virginia,Miami FL,W
Cincinnati,Kansas,W
Missouri,Arkansas,L
South Carolina,Mississippi St.,W
BYU,Iowa St.,W
Weber St.,Montana,W
Colorado St.,San Diego St.,W
Minnesota,Rutgers,W
Toledo,Eastern Michigan,W
Virginia Tech,Wake Forest,W
Arizona,Houston,W
Texas,Georgia,L
Alabama,LSU,W
Florida St.,Clemson,W
Eastern Kentucky,Bellarmine,W
Duke,Michigan,W
New Haven,Fairleigh Dickinson,W
Mississippi St.,South Carolina,L
UC San Diego,UC Irvine,W
Florida,Mississippi,W
St. Bonaventure,Richmond,L
North Dakota,South Dakota St.,L
Idaho St.,Montana St.,W
Western Kentucky,Liberty,W
Connecticut,Villanova,W
Saint Mary's,Washington St.,W
Fresno St.,New Mexico,L
Richmond,St. Bonaventure,W
Bellarmine,Eastern Kentucky,L
Mercyhurst,LIU,W
Texas A&M,Oklahoma,W
Santa Clara,San Francisco,W
Michigan,Duke,L
South Dakota St.,North Dakota,W
Tennessee St.,SIU Edwardsville,W
Utah St.,Nevada,L
Nicholls St.,Stephen F. Austin,L
UMass Lowell,Binghamton,W
New Mexico,Fresno St.,W
Pacific,Gonzaga,L
Washington St.,Saint Mary's,L
Utah Tech,Tarleton St.,W
Kansas,Cincinnati,L
Sam Houston St.,Jacksonville St.,W
Loyola Marymount,San Diego,W
Southern,Grambling St.,W
LSU,Alabama,L
High Point,Winthrop,W
Dayton,Duquesne,W
Butler,Xavier,W
Chattanooga,The Citadel,W
UNLV,Air Force,W
Nevada,Utah St.,W
Louisville,Georgia Tech,W
Bradley,Illinois St.,W
LIU,Mercyhurst,L
Nebraska,Penn St.,W
Houston,Arizona,L
Valparaiso,Illinois Chicago,W
Hofstra,Northeastern,W
Queens,West Georgia,W
Kansas St.,Texas Tech,L
Oklahoma,Texas A&M,L
Boston College,SMU,L
Arkansas St.,Louisiana Monroe,W
Mercer,Samford,W
Louisiana Monroe,Arkansas St.,L
James Madison,Georgia St.,W
Arkansas Pine Bluff,Prairie View A&M,W
Tennessee,Vanderbilt,W
Middle Tennessee,Delaware,W
Longwood,Charleston Southern,W
UCF,Utah,W
East Tennessee St.,UNC Greensboro,W
Jacksonville St.,Sam Houston St.,L
Stephen F. Austin,Nicholls St.,W
Samford,Mercer,L
Howard,North Carolina Centr,W
Denver,St. Thomas,W
Vanderbilt,Tennessee,L
Bethune Cookman,Alabama A&M,W
Navy,Army,W
Wyoming,Grand Canyon,W
Southeastern Louisia,UT Rio Grande Valley,L
Providence,DePaul,W
Boise St.,San Jose St.,W
Southern Utah,Abilene Christian,L
East Texas A&M,Incarnate Word,L
Maryland,Washington,W
USC Upstate,Presbyterian,W
Binghamton,UMass Lowell,L
Belmont,Indiana St.,W
Pittsburgh,Notre Dame,W
Winthrop,High Point,L
North Carolina,Syracuse,W
Gonzaga,Pacific,W
Buffalo,Massachusetts,W
Mississippi,Florida,L
Colorado,Oklahoma St.,W
Rutgers,Minnesota,L
Utah,UCF,L
Prairie View A&M,Arkansas Pine Bluff,L
Baylor,Arizona St.,W
Villanova,Connecticut,L
Northern Arizona,Northern Colorado,L
Morehead St.,Western Illinois,W
Wake Forest,Virginia Tech,L
Duquesne,Dayton,L
Charleston Southern,Longwood,L
Clemson,Florida St.,L
Norfolk St.,South Carolina St.,W
Elon,North Carolina A&T,L
Notre Dame,Pittsburgh,L
Idaho,Sacramento St.,W
Ohio,Northern Illinois,W
New Mexico St.,UTEP,W
San Jose St.,Boise St.,L
Western Carolina,VMI,W
Cal St. Northridge,Long Beach St.,W
Appalachian St.,Georgia Southern,W
Auburn,Kentucky,W
Fairleigh Dickinson,New Haven,L
Louisiana,Texas St.,W
Washington,Maryland,L
UNC Greensboro,East Tennessee St.,L
UC Irvine,UC San Diego,L
Alabama A&M,Bethune Cookman,L
Georgia Southern,Appalachian St.,L
Furman,Wofford,W
North Dakota St.,UMKC,W
New Orleans,Lamar,W
Southern Illinois,Northern Iowa,W
Sacramento St.,Idaho,L
California,Stanford,W
Xavier,Butler,L
Murray St.,Evansville,W
Tarleton St.,Utah Tech,L
San Diego St.,Colorado St.,L
Yale,Penn,W
Presbyterian,USC Upstate,L
UC Santa Barbara,Hawaii,L
Arizona St.,Baylor,L
West Georgia,Queens,L
Stony Brook,Hampton,W
Penn St.,Nebraska,L
Fordham,Davidson,W
Oregon,USC,W
Liberty,Western Kentucky,L
Cal St. Fullerton,Cal St. Bakersfield,W
Harvard,Cornell,W
Kentucky,Auburn,L
Saint Joseph's,Loyola Chicago,W
Charleston,Monmouth,W
Southern Indiana,Eastern Illinois,W
Cal St. Bakersfield,Cal St. Fullerton,L
Iowa St.,BYU,L
Penn,Yale,L
Northeastern,Hofstra,L
Wichita St.,Temple,W
UTEP,New Mexico St.,L
TCU,West Virginia,W
San Diego,Loyola Marymount,L
South Alabama,Troy,W
Delaware,Middle Tennessee,L
St. Thomas,Denver,L
North Florida,Stetson,L
Northern Colorado,Northern Arizona,W
Massachusetts,Buffalo,L
Evansville,Murray St.,L
St. John's,Creighton,W
Pepperdine,Oregon St.,L
Colgate,Loyola MD,W
Albany,UMBC,L
Loyola MD,Colgate,L
Abilene Christian,Southern Utah,W
Vermont,NJIT,W
Oregon St.,Pepperdine,W
Georgia Tech,Louisville,L
UC Davis,UC Riverside,W
Austin Peay,Jacksonville,W
Syracuse,North Carolina,L
McNeese St.,Texas A&M Corpus Chr,W
Eastern Washington,Portland St.,W
Hampton,Stony Brook,L
USC,Oregon,L
Wofford,Furman,L
Northwestern St.,Houston Christian,W
Montana,Weber St.,L
Davidson,Fordham,L
Old Dominion,Southern Miss,L
Stonehill,Le Moyne,W
Tennessee Tech,Lindenwood,W
San Francisco,Santa Clara,L
North Carolina Centr,Howard,L
West Virginia,TCU,L
Florida A&M,Alabama St.,W
Seattle,Portland,W
Campbell,UNC Wilmington,L
UNC Wilmington,Campbell,W
Illinois Chicago,Valparaiso,L
Florida Gulf Coast,Central Arkansas,W
Morgan St.,Delaware St.,W
FIU,Missouri St.,W
Hawaii,UC Santa Barbara,W
Radford,UNC Asheville,L
Temple,Wichita St.,L
Central Michigan,Western Michigan,W
Long Beach St.,Cal St. Northridge,L
Air Force,UNLV,L
Army,Navy,L
Utah Valley,UT Arlington,W
Loyola Chicago,Saint Joseph's,L
Eastern Michigan,Toledo,L
Coastal Carolina,Marshall,W
Stetson,North Florida,W
UMBC,Albany,W
Charlotte,East Carolina,W
Missouri St.,FIU,L
Jacksonville,Austin Peay,L
La Salle,Rhode Island,W
Central Arkansas,Florida Gulf Coast,L
Oklahoma St.,Colorado,L
UNC Asheville,Radford,W
Stanford,California,L
Southern Miss,Old Dominion,W
DePaul,Providence,L
NJIT,Vermont,L
Marshall,Coastal Carolina,L
Le Moyne,Stonehill,L
Mississippi Valley S,Texas Southern,W
Lipscomb,North Alabama,W
Chicago St.,Central Connecticut,W
Portland,Seattle,L
Indiana St.,Belmont,L
Alcorn St.,Jackson St.,W
Northern Iowa,Southern Illinois,L
UC Riverside,UC Davis,L
Lamar,New Orleans,L
Grand Canyon,Wyoming,L
Monmouth,Charleston,L
Montana St.,Idaho St.,L
Southeast Missouri S,Little Rock,W
Northern Illinois,Ohio,L
Little Rock,Southeast Missouri S,L
Cornell,Harvard,L
Illinois St.,Bradley,L
Troy,South Alabama,L
South Carolina St.,Norfolk St.,L
Texas Southern,Mississippi Valley S,L
Dartmouth,Columbia,W
Jackson St.,Alcorn St.,L
VMI,Western Carolina,L
Eastern Illinois,Southern Indiana,L
Texas A&M Corpus Chr,McNeese St.,L
Alabama St.,Florida A&M,L
Western Michigan,Central Michigan,L
Coppin St.,Maryland Eastern Sho,W
Georgia St.,James Madison,L
Grambling St.,Southern,L
North Alabama,Lipscomb,L
Columbia,Dartmouth,L
UT Arlington,Utah Valley,L
Wagner,Saint Francis,W
The Citadel,Chattanooga,L
Georgetown,Seton Hall,L
Maine,New Hampshire,W
Oral Roberts,South Dakota,W
Delaware St.,Morgan St.,L
New Hampshire,Maine,L
Kennesaw St.,Louisiana Tech,W
Texas St.,Louisiana,L
Lindenwood,Tennessee Tech,L
Western Illinois,Morehead St.,L
SIU Edwardsville,Tennessee St.,L
Creighton,St. John's,L
East Carolina,Charlotte,L
Houston Christian,Northwestern St.,L
Portland St.,Eastern Washington,L
Saint Francis,Wagner,L
Louisiana Tech,Kennesaw St.,L
South Dakota,Oral Roberts,L
Central Connecticut,Chicago St.,L
UMKC,North Dakota St.,L
Seton Hall,Georgetown,W
Maryland Eastern Sho,Coppin St.,L
Rhode Island,La Salle,L
Wisconsin,Iowa,W
Fairfield,Quinnipiac,W
Iowa,Wisconsin,L
Tulsa,UTSA,W
Florida Atlantic,North Texas,L
Robert Morris,Wright St.,W
American,Lafayette,W
Merrimack,Iona,W
Siena,Saint Peter's,W
Iona,Merrimack,L
Ohio St.,Michigan St.,L
UAB,Memphis,W
North Texas,Florida Atlantic,W
Boston University,Lehigh,L
Tulane,Rice,W
Oakland,Milwaukee,W
Michigan St.,Ohio St.,W
Quinnipiac,Fairfield,L
Rice,Tulane,L
Purdue Fort Wayne,Cleveland St.,W
UTSA,Tulsa,L
Milwaukee,Oakland,L
Drexel,Towson,W
Cleveland St.,Purdue Fort Wayne,L
Lehigh,Boston University,W
Holy Cross,Bucknell,W
Sacred Heart,Marist,L
Green Bay,Detroit Mercy,L
Lafayette,American,L
Saint Peter's,Siena,L
Detroit Mercy,Green Bay,W
Wright St.,Robert Morris,L
Towson,Drexel,L
Mount St. Mary's,Canisius,W
Memphis,UAB,L
Rider,Niagara,W
Bucknell,Holy Cross,L
Niagara,Rider,L
Youngstown St.,Northern Kentucky,W
Marist,Sacred Heart,W
Canisius,Mount St. Mary's,L
Northern Kentucky,Youngstown St.,L
North Carolina,Louisville,W
New Orleans,Stephen F. Austin,W
Louisville,North Carolina,L
Kansas,Houston,W
Texas A&M Corpus Chr,Southeastern Louisia,W
Houston Christian,East Texas A&M,W
McNeese St.,UT Rio Grande Valley,W
UT Rio Grande Valley,McNeese St.,L
Southeastern Louisia,Texas A&M Corpus Chr,L
Houston,Kansas,L
Stephen F. Austin,New Orleans,L
East Texas A&M,Houston Christian,L
Grambling St.,Mississippi Valley S,W
Mississippi Valley S,Grambling St.,L
Incarnate Word,Northwestern St.,L
Nicholls St.,Lamar,W
Northwestern St.,Incarnate Word,W
Lamar,Nicholls St.,L
Baylor,Arizona,L
Texas Tech,Cincinnati,W
George Washington,La Salle,W
Duke,Notre Dame,W
Oklahoma,Auburn,W
Oklahoma St.,West Virginia,W
UCF,BYU,W
Arizona,Baylor,W
Marshall,Old Dominion,W
Cincinnati,Texas Tech,L
Troy,Louisiana,W
Virginia,N.C. State,W
UCLA,USC,W
Minnesota,Michigan,L
San Jose St.,Air Force,W
Central Michigan,Kent St.,L
Michigan,Minnesota,W
Western Michigan,Bowling Green,W
TCU,Arizona St.,W
Miami FL,Florida St.,W
Northwestern,Indiana,W
Missouri,Tennessee,W
Auburn,Oklahoma,L
Dayton,Saint Louis,W
Indiana,Northwestern,L
Marquette,Georgetown,W
West Virginia,Oklahoma St.,L
Illinois Chicago,Bradley,W
Washington,Rutgers,W
Arizona St.,TCU,L
Bradley,Illinois Chicago,L
Old Dominion,Marshall,L
Tennessee,Missouri,L
Saint Francis,New Haven,W
Kent St.,Central Michigan,W
Toledo,Northern Illinois,W
Buffalo,Akron,L
Akron,Buffalo,W
Colorado St.,Fresno St.,W
Air Force,San Jose St.,L
Arkansas St.,Southern Miss,W
Coastal Carolina,Georgia St.,W
Florida St.,Miami FL,L
Boise St.,Wyoming,W
Miami OH,Eastern Michigan,W
La Salle,George Washington,L
Iowa St.,Utah,W
Louisiana,Troy,L
Fresno St.,Colorado St.,L
Southern Miss,Arkansas St.,L
Wyoming,Boise St.,L
USC,UCLA,L
Georgia St.,Coastal Carolina,L
N.C. State,Virginia,L
Rutgers,Washington,L
Massachusetts,Ball St.,L
Kentucky,South Carolina,W
BYU,UCF,L
Georgetown,Marquette,L
Northern Illinois,Toledo,L
Utah,Iowa St.,L
Bowling Green,Western Michigan,L
Morehead St.,Southern Indiana,W
Nevada,New Mexico,W
Southern Indiana,Morehead St.,L
Notre Dame,Duke,L
South Carolina,Kentucky,L
Ball St.,Massachusetts,W
Saint Louis,Dayton,L
New Haven,Saint Francis,L
New Mexico,Nevada,L
Eastern Michigan,Miami OH,L
Alabama,Mississippi St.,W
Providence,Xavier,W
Vanderbilt,Georgia,W
Central Arkansas,Austin Peay,W
Texas,Florida,L
Arkansas,Texas A&M,W
Connecticut,St. John's,W
Georgia,Vanderbilt,L
Belmont,Evansville,W
Austin Peay,Central Arkansas,L
Charlotte,North Texas,W
Saint Mary's,Santa Clara,W
San Diego St.,Utah St.,W
LSU,Mississippi,W
Iowa,Ohio St.,W
Tulsa,Tulane,W
Florida,Texas,W
Saint Joseph's,George Mason,W
Illinois St.,Northern Iowa,W
Seattle,Pepperdine,W
Oregon,Wisconsin,W
Pepperdine,Seattle,L
North Texas,Charlotte,L
Gonzaga,Portland,W
Mississippi,LSU,L
Pittsburgh,Stanford,L
Stanford,Pittsburgh,W
Santa Clara,Saint Mary's,L
Creighton,DePaul,L
Texas A&M,Arkansas,L
Utah St.,San Diego St.,L
Villanova,Butler,W
Maryland,Nebraska,L
Xavier,Providence,L
Queens,Eastern Kentucky,W
Drake,Valparaiso,L
UTSA,East Carolina,L
Oregon St.,San Diego,W
West Georgia,Lipscomb,W
Northern Iowa,Illinois St.,L
Morgan St.,South Carolina St.,W
Navy,Loyola MD,W
Lehigh,American,W
Grand Canyon,UNLV,W
South Dakota,Nebraska Omaha,W
Wisconsin,Oregon,L
South Alabama,Louisiana Monroe,W
Butler,Villanova,L
Nebraska,Maryland,W
Oakland,IU Indy,W
Wake Forest,Boston College,L
DePaul,Creighton,W
San Diego,Oregon St.,L
East Carolina,UTSA,W
Milwaukee,Youngstown St.,W
Boston University,Holy Cross,W
Lafayette,Colgate,W
Ohio St.,Iowa,L
Boston College,Wake Forest,W
Eastern Kentucky,Queens,L
Bellarmine,North Alabama,L
Valparaiso,Drake,W
California,SMU,W
Wofford,East Tennessee St.,W
UNLV,Grand Canyon,L
Davidson,Duquesne,W
Robert Morris,Detroit Mercy,W
Lipscomb,West Georgia,L
SMU,California,L
Mercer,Western Carolina,L
Western Carolina,Mercer,W
South Florida,Rice,W
American,Lehigh,L
George Mason,Saint Joseph's,L
North Alabama,Bellarmine,W
Northern Kentucky,Cleveland St.,W
Washington St.,Loyola Marymount,L
Detroit Mercy,Robert Morris,L
Wright St.,Purdue Fort Wayne,W
James Madison,Georgia Southern,W
Colorado,Kansas St.,W
Mississippi St.,Alabama,L
Furman,The Citadel,W
Colgate,Lafayette,L
Bucknell,Army,W
South Carolina St.,Morgan St.,L
Evansville,Belmont,L
Georgia Southern,James Madison,L
East Tennessee St.,Wofford,L
Purdue Fort Wayne,Wright St.,L
Nebraska Omaha,South Dakota,L
Portland,Gonzaga,L
Loyola Marymount,Washington St.,W
Southern Illinois,Indiana St.,W
IU Indy,Oakland,L
The Citadel,Furman,L
Holy Cross,Boston University,L
Youngstown St.,Milwaukee,L
Cleveland St.,Northern Kentucky,L
Army,Bucknell,L
Tulane,Tulsa,L
Loyola MD,Navy,L
Duquesne,Davidson,L
Kansas St.,Colorado,L
St. John's,Connecticut,L
Indiana St.,Southern Illinois,L
Rice,South Florida,L
Louisiana Monroe,South Alabama,L
St. Bonaventure,Rhode Island,W
Purdue,Michigan St.,L
St. Thomas,North Dakota St.,W
Sam Houston St.,FIU,W
Michigan St.,Purdue,W
Wichita St.,Memphis,W
Oral Roberts,Denver,W
Montana St.,Portland St.,W
Charleston,Hampton,W
Cal Poly,Long Beach St.,W
UNC Wilmington,North Carolina A&T,W
Stonehill,Saint Francis,W
Jacksonville,Stetson,W
Utah Tech,Abilene Christian,W
Monmouth,Stony Brook,W
Temple,Florida Atlantic,L
Stetson,Jacksonville,L
Memphis,Wichita St.,L
Western Kentucky,New Mexico St.,W
Hawaii,UC Davis,W
Eastern Washington,Northern Colorado,W
High Point,Presbyterian,W
Florida Atlantic,Temple,W
Morehead St.,Little Rock,W
Idaho,Northern Arizona,W
Utah Valley,Tarleton St.,W
Middle Tennessee,UTEP,W
Abilene Christian,Utah Tech,L
Central Connecticut,Mercyhurst,W
Gardner Webb,UNC Asheville,L
Cal Baptist,UT Arlington,W
Florida A&M,Southern,W
Long Beach St.,Cal Poly,L
Missouri St.,Louisiana Tech,L
UNC Asheville,Gardner Webb,W
Northern Colorado,Eastern Washington,L
Delaware,Jacksonville St.,L
UC San Diego,Cal St. Bakersfield,W
Tarleton St.,Utah Valley,L
Kennesaw St.,Liberty,W
Maine,Albany,W
UC Davis,Hawaii,L
Jacksonville St.,Delaware,W
Mercyhurst,Central Connecticut,L
Alcorn St.,Texas Southern,L
Montana,Sacramento St.,W
Saint Francis,Stonehill,L
Denver,Oral Roberts,L
Rhode Island,St. Bonaventure,L
Cal St. Bakersfield,UC San Diego,L
Eastern Illinois,Lindenwood,W
Tennessee St.,Southeast Missouri S,W
Charleston Southern,Winthrop,W
North Carolina A&T,UNC Wilmington,L
UNC Greensboro,Chattanooga,W
Liberty,Kennesaw St.,L
Louisiana Tech,Missouri St.,W
Presbyterian,High Point,L
Texas Southern,Alcorn St.,W
South Dakota St.,UMKC,W
North Florida,Florida Gulf Coast,W
Stony Brook,Monmouth,L
Le Moyne,Fairleigh Dickinson,W
Sacramento St.,Montana,L
Jackson St.,Prairie View A&M,L
Winthrop,Charleston Southern,L
Prairie View A&M,Jackson St.,W
Southern,Florida A&M,L
Northern Arizona,Idaho,L
Hampton,Charleston,L
Portland St.,Montana St.,L
Bethune Cookman,Grambling St.,W
Campbell,Drexel,L
Samford,VMI,W
Radford,USC Upstate,W
Wagner,New Haven,W
Cal St. Northridge,UC Irvine,L
UC Santa Barbara,UC Riverside,W
UT Arlington,Cal Baptist,L
UMBC,Bryant,W
UMass Lowell,Vermont,L
Northeastern,William & Mary,L
LIU,Chicago St.,W
New Haven,Wagner,L
Drexel,Campbell,W
UC Irvine,Cal St. Northridge,W
VMI,Samford,L
UTEP,Middle Tennessee,L
Elon,Towson,L
FIU,Sam Houston St.,L
Little Rock,Morehead St.,L
Southeast Missouri S,Tennessee St.,L
Fairleigh Dickinson,Le Moyne,L
Grambling St.,Bethune Cookman,L
William & Mary,Northeastern,W
Binghamton,New Hampshire,W
North Dakota St.,St. Thomas,L
Bryant,UMBC,L
Albany,Maine,L
Florida Gulf Coast,North Florida,L
Vermont,UMass Lowell,W
Chattanooga,UNC Greensboro,L
New Hampshire,Binghamton,L
UMKC,South Dakota St.,L
Chicago St.,LIU,L
Lindenwood,Eastern Illinois,L
USC Upstate,Radford,L
UC Riverside,UC Santa Barbara,L
New Mexico St.,Western Kentucky,L
Tennessee Martin,Tennessee Tech,W
Towson,Elon,W
SIU Edwardsville,Western Illinois,W
Tennessee Tech,Tennessee Martin,L
Western Illinois,SIU Edwardsville,L
Michigan,Illinois,W
Akron,Kent St.,W
Illinois,Michigan,L
Georgia Southern,Marshall,W
Cornell,Yale,W
Sacred Heart,Mount St. Mary's,W
Niagara,Quinnipiac,W
Marshall,Georgia Southern,L
Dartmouth,Penn,L
Troy,Louisiana Monroe,W
Columbia,Brown,W
Saint Peter's,Manhattan,W
Canisius,Merrimack,W
James Madison,Coastal Carolina,L
Louisiana Monroe,Troy,L
Dayton,George Washington,W
Coastal Carolina,James Madison,W
Old Dominion,Georgia St.,W
Quinnipiac,Niagara,L
Penn,Dartmouth,W
Fairfield,Siena,W
Southern Miss,South Alabama,W
George Washington,Dayton,L
Kent St.,Akron,L
Arkansas St.,Louisiana,W
Merrimack,Canisius,L
Mount St. Mary's,Sacred Heart,L
Western Michigan,Miami OH,L
Manhattan,Saint Peter's,L
Princeton,Harvard,L
Brown,Columbia,L
Iona,Rider,W
Texas St.,Appalachian St.,W
Georgia St.,Old Dominion,L
Yale,Cornell,L
Appalachian St.,Texas St.,L
Miami OH,Western Michigan,W
Harvard,Princeton,W
South Alabama,Southern Miss,L
Rider,Iona,L
Louisiana,Arkansas St.,L
Siena,Fairfield,L
Texas Tech,Iowa St.,W
Kentucky,Vanderbilt,W
Stanford,SMU,W
Minnesota,UCLA,W
UCLA,Minnesota,L
Houston,Colorado,W
Florida,Arkansas,W
Georgia,South Carolina,W
Baylor,UCF,W
Wisconsin,Washington,W
Duke,Virginia,W
Missouri,Mississippi St.,W
Wake Forest,Syracuse,W
Arizona,Kansas,W
Syracuse,Wake Forest,L
Notre Dame,N.C. State,W
Saint Louis,Duquesne,W
North Carolina,Virginia Tech,W
N.C. State,Notre Dame,L
Utah St.,Grand Canyon,W
Virginia Tech,North Carolina,L
Northern Kentucky,Wright St.,L
Duquesne,Saint Louis,L
Bellarmine,Austin Peay,W
Santa Clara,Oregon St.,W
Xavier,Georgetown,W
Mississippi,Auburn,W
Florida St.,Georgia Tech,W
St. John's,Villanova,W
Oklahoma,LSU,W
Cincinnati,Oklahoma St.,W
Mercer,East Tennessee St.,W
West Virginia,BYU,W
Wright St.,Northern Kentucky,W
UCF,Baylor,L
Liberty,Jacksonville St.,W
BYU,West Virginia,L
Kennesaw St.,Delaware,W
Detroit Mercy,Oakland,W
Clemson,Louisville,W
Western Carolina,Furman,W
Penn St.,Iowa,W
Alabama,Tennessee,W
Sam Houston St.,Missouri St.,W
SMU,Stanford,L
Western Kentucky,UTEP,W
Alabama St.,Alabama A&M,W
Nebraska,USC,W
Seton Hall,Connecticut,L
Green Bay,Youngstown St.,W
Little Rock,Southern Indiana,W
Cal St. Fullerton,Hawaii,L
Alabama A&M,Alabama St.,L
New Mexico,San Diego St.,W
Auburn,Mississippi,L
FIU,Louisiana Tech,W
Colorado St.,San Jose St.,W
Charleston Southern,UNC Asheville,W
Connecticut,Seton Hall,W
Eastern Washington,Northern Arizona,W
Cal Baptist,Tarleton St.,W
Campbell,Towson,L
VCU,Fordham,W
Lehigh,Bucknell,W
Stephen F. Austin,Houston Christian,W
Providence,Creighton,W
Miami FL,Boston College,W
Georgetown,Xavier,L
Louisville,Clemson,L
Texas,Texas A&M,W
Arizona St.,Utah,W
Boise St.,Fresno St.,W
Saint Mary's,Gonzaga,W
Loyola Marymount,Seattle,L
San Diego St.,New Mexico,L
Princeton,Dartmouth,W
Vanderbilt,Kentucky,L
The Citadel,Wofford,W
Missouri St.,Sam Houston St.,L
Iowa St.,Texas Tech,L
Oakland,Detroit Mercy,L
Jacksonville St.,Liberty,L
Arkansas,Florida,L
Navy,Colgate,W
Oral Roberts,UMKC,W
Hawaii,Cal St. Fullerton,W
SIU Edwardsville,Eastern Illinois,W
San Francisco,Pacific,W
Cornell,Brown,W
UC Riverside,Cal St. Northridge,W
Chattanooga,VMI,W
Albany,New Hampshire,W
Toledo,Ohio,W
Tennessee,Alabama,L
Evansville,Valparaiso,W
UMBC,UMass Lowell,W
Lindenwood,Western Illinois,W
New Mexico St.,Middle Tennessee,L
Loyola MD,Holy Cross,W
Iowa,Penn St.,L
UNLV,Nevada,W
USC,Nebraska,L
Ball St.,Northern Illinois,W
Weber St.,Idaho St.,W
Purdue Fort Wayne,IU Indy,W
Tennessee Tech,Southeast Missouri S,L
VMI,Chattanooga,L
Bucknell,Lehigh,L
Oregon St.,Santa Clara,L
San Diego,Portland,L
George Mason,St. Bonaventure,W
Pepperdine,Washington St.,W
William & Mary,North Carolina A&T,W
Eastern Kentucky,Lipscomb,L
San Jose St.,Colorado St.,L
Seattle,Loyola Marymount,W
Portland,San Diego,W
Southeast Missouri S,Tennessee Tech,W
Colorado,Houston,L
North Dakota St.,North Dakota,W
South Carolina,Georgia,L
Southern Utah,Utah Tech,W
Montana St.,Sacramento St.,W
Valparaiso,Evansville,L
Central Michigan,Buffalo,W
Northern Colorado,Idaho,W
Pittsburgh,California,W
North Carolina A&T,William & Mary,L
Jacksonville,North Florida,W
Incarnate Word,Lamar,W
Long Beach St.,Cal St. Bakersfield,W
Utah,Arizona St.,L
Cal St. Bakersfield,Long Beach St.,L
IU Indy,Purdue Fort Wayne,L
Grand Canyon,Utah St.,L
East Tennessee St.,Mercer,L
Bowling Green,Massachusetts,W
Towson,Campbell,W
Nevada,UNLV,L
Georgia Tech,Florida St.,L
Central Arkansas,Queens,W
Delaware,Kennesaw St.,L
North Carolina Centr,Delaware St.,W
Longwood,Radford,W
Louisiana Tech,FIU,L
Queens,Central Arkansas,L
Montana,Portland St.,W
Lipscomb,Eastern Kentucky,W
Oklahoma St.,Cincinnati,L
Bethune Cookman,Southern,W
Binghamton,Maine,W
Middle Tennessee,New Mexico St.,W
